Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Priority,Components,Labels
Epic,PLAT - Platform & Foundation,,Platform & Foundation,"Shared building blocks, CI/CD, local dev environment and the gateway walking skeleton. Every other epic depends on this one shipping first.",,,Platform,Phase-A
Story,,PLAT - Platform & Foundation,Implement BuildingBlocks.Abstractions,"As a platform engineer, I want a shared library of IClock, IUserContext and Result<T>, so that every service uses the same core primitives instead of inventing its own.

Acceptance Criteria:
- IClock and TimeProvider wired for testability
- IUserContext contract defined (userId, instanceId, roleIds, correlationId)
- Result<T> pattern documented with usage examples
- Published as a versioned NuGet package to the internal feed",3,High,Platform,"shared-buildingblocks-libraries,Phase-A"
Story,,PLAT - Platform & Foundation,Implement BuildingBlocks.Observability,"As a platform engineer, I want OpenTelemetry wired for ASP.NET Core, HttpClient, Npgsql, gRPC and MassTransit, so that every service emits consistent traces, metrics and structured logs out of the box.

Acceptance Criteria:
- OTLP exporter configured via IConfiguration
- Correlation id propagated through HTTP headers, gRPC metadata and broker message headers
- Serilog structured logging to stdout with resource attributes (service.name/version/instance)
- /health/live and /health/ready helpers included",5,High,Platform,"shared-buildingblocks-libraries,Phase-A"
Story,,PLAT - Platform & Foundation,Implement BuildingBlocks.Messaging,"As a platform engineer, I want a MassTransit + RabbitMQ package with outbox and inbox conventions baked in, so that no service has to hand-roll idempotent, transactionally-safe event publishing.

Acceptance Criteria:
- AddEntityFrameworkOutbox extension method with sane defaults
- Inbox table + idempotent-consumer base class
- Retry + delayed-redelivery policy preset
- Sample producer and consumer used in an integration test",8,High,Platform,"shared-buildingblocks-libraries,Phase-A"
Story,,PLAT - Platform & Foundation,Implement BuildingBlocks.Auth,"As a platform engineer, I want middleware that validates the internal JWT and populates IUserContext, so that services never read HttpContext directly for identity.

Acceptance Criteria:
- JWT signature validated against the shared JWKS
- IUserContext populated from claims (userId, instanceId, roleIds, correlationId)
- Middleware registered with one extension method
- Unit tests cover expired, malformed and valid tokens",5,High,Platform,"shared-buildingblocks-libraries,Phase-A"
Story,,PLAT - Platform & Foundation,Implement BuildingBlocks.Persistence,"As a platform engineer, I want EF Core conventions for soft delete and audit columns, so that every service gets deletedAt filtering and created/updated stamping for free.

Acceptance Criteria:
- Global query filter applied via one extension method
- SaveChanges interceptor stamps created_at/updated_at/created_by/updated_by
- Delete() converts to a deletedAt write, never a real DELETE, on annotated entities
- Verified against a sample DbContext in an integration test",5,High,Platform,"shared-buildingblocks-libraries,Phase-A"
Story,,PLAT - Platform & Foundation,Port the permission cascade graph as a pure function,"As a platform engineer, I want the hierarchy and lateral permission graphs ported from PolicyGeneratorCE as pure C# functions, so that every service that needs authz_grants derivation uses one tested implementation, never a fork.

Acceptance Criteria:
- CascadeToChild(parent, child, permission) implemented and unit tested against the Java enum values
- Implied(permission) implemented for same-resource lateral grants
- Zero I/O — fully unit-testable, no database or HTTP
- Test suite ports the equivalent cases from PolicyGeneratorCE",8,High,Platform,"shared-buildingblocks-libraries,Phase-A"
Story,,PLAT - Platform & Foundation,Set up solution-wide build configuration,"As a platform engineer, I want Directory.Build.props and Directory.Packages.props at the repo root, so that every project shares LangVersion, Nullable, TreatWarningsAsErrors and one package version each.

Acceptance Criteria:
- Nullable reference types enabled, warnings as errors
- Central package management enforced — no per-project <PackageReference Version>
- global.json pins the SDK version",2,High,Platform,"ci-cd-&-architecture-enforcement,Phase-A"
Story,,PLAT - Platform & Foundation,Add architecture tests to the service template,"As a tech lead, I want a NetArchTest suite enforcing the Domain/Application/Infrastructure/Api layer rules, so that a layer violation fails the build instead of surviving code review.

Acceptance Criteria:
- Domain project may not reference EF Core, ASP.NET or MassTransit
- Application project may not reference concrete Infrastructure types
- Rules run as part of every service's unit test project
- Template documented so new services start with the tests included",5,High,Platform,"ci-cd-&-architecture-enforcement,Phase-A"
Story,,PLAT - Platform & Foundation,Build the CI pipeline,"As a platform engineer, I want a pipeline that builds, tests, checks formatting and builds container images for every service, so that every merge to main is verified the same way regardless of which service changed.

Acceptance Criteria:
- dotnet build / dotnet test / dotnet format --verify-no-changes all gate the merge
- Container image built and pushed per service on merge
- Pipeline runs in under a target wall-clock budget agreed with the team",8,High,Platform,"ci-cd-&-architecture-enforcement,Phase-A"
Story,,PLAT - Platform & Foundation,Add .proto contract diff checking to CI,"As a tech lead, I want the pipeline to diff every service's .proto files against the previous release, so that a breaking contract change is caught before it reaches a consumer.

Acceptance Criteria:
- Diff tool flags removed fields, retyped fields and removed RPCs as breaking
- Breaking changes fail the build unless the PR carries a contract-break label
- Non-breaking additions pass silently",5,Medium,Platform,"ci-cd-&-architecture-enforcement,Phase-A"
Story,,PLAT - Platform & Foundation,Add EF Core migrations as a deploy-time job,"As a platform engineer, I want a dedicated Kubernetes Job (or compose step) that applies pending migrations before a service starts, so that eight replicas never race to apply the same migration.

Acceptance Criteria:
- No service calls Database.Migrate() in Program.cs
- Migration job runs to completion before the deployment rollout proceeds
- Job failure blocks the deployment",3,High,Platform,"ci-cd-&-architecture-enforcement,Phase-A"
Story,,PLAT - Platform & Foundation,Author the Aspire AppHost,"As a developer, I want one command that starts Postgres, Redis, RabbitMQ and every service locally, so that I don't need to hand-configure eight services and three pieces of infrastructure to start working.

Acceptance Criteria:
- dotnet run on the AppHost starts all configured resources
- Six Postgres databases provisioned automatically
- Aspire dashboard shows logs and traces across every service",5,High,Platform,"local-dev-environment-.net-aspire,Phase-A"
Story,,PLAT - Platform & Foundation,"Wire service discovery for Identity, Application and Datasource","As a developer, I want the AppHost to inject connection strings and service URLs automatically, so that I never hand-edit an appsettings.json to point one service at another locally.

Acceptance Criteria:
- WithReference() wiring covers every declared sync dependency
- Services resolve each other by Aspire-assigned names, not hardcoded ports
- Works after a machine restart with no manual steps",5,Medium,Platform,"local-dev-environment-.net-aspire,Phase-A"
Story,,PLAT - Platform & Foundation,Add the Angular app to the AppHost,"As a frontend developer, I want the Angular dev server to start alongside the backend via AddNpmApp, so that I get the whole stack running with one command during frontend work too.

Acceptance Criteria:
- ng serve launches through the AppHost
- Angular app's API base URL points at the gateway automatically
- Hot reload still works for both sides",3,Medium,Platform,"local-dev-environment-.net-aspire,Phase-A"
Story,,PLAT - Platform & Foundation,Stand up YARP routing for all seven services,"As a platform engineer, I want a reverse-proxy routing table mapping /api/v1/* prefixes to their owning service, so that the gateway can route a request without any service knowing about any other.

Acceptance Criteria:
- Routes configured for Identity, Application, Datasource paths at minimum for the skeleton
- Unmatched routes return a clean 404, not a proxy error
- Routing table is data-driven, not hardcoded per route",5,High,Platform,"api-gateway-walking-skeleton,Phase-A"
Story,,PLAT - Platform & Foundation,Implement cookie session and CSRF,"As a security engineer, I want a __Host- prefixed HttpOnly session cookie plus double-submit CSRF, so that the Angular client's auth model matches what the current React client already does.

Acceptance Criteria:
- Session cookie is HttpOnly, Secure, SameSite=Lax
- XSRF-TOKEN cookie set and validated via header on mutating requests
- CSRF failure returns a clear 403 with no state change",5,High,Platform,"api-gateway-walking-skeleton,Phase-A"
Story,,PLAT - Platform & Foundation,Wire session validation with a Redis cache,"As a platform engineer, I want the gateway to call Identity's ValidateSession over gRPC and cache the result in Redis, so that most requests don't pay a network hop for authentication.

Acceptance Criteria:
- Cache hit path skips the gRPC call entirely
- Cache miss falls back to gRPC and re-populates the cache
- TTL is short and configurable",5,High,Platform,"api-gateway-walking-skeleton,Phase-A"
Story,,PLAT - Platform & Foundation,Implement internal JWT minting,"As a platform engineer, I want the gateway to mint a short-lived signed JWT for every downstream call, so that services never see the browser's session cookie.

Acceptance Criteria:
- Token TTL is ~60 seconds and never persisted
- Token carries userId, instanceId, roleIds and correlationId
- Downstream services validate it against a shared JWKS",3,High,Platform,"api-gateway-walking-skeleton,Phase-A"
Story,,PLAT - Platform & Foundation,Implement the response envelope and authorization filter,"As a frontend developer, I want every gateway response wrapped in {responseMeta, data} and every authz failure returned as 404, so that the client's existing unwrap-and-error-handling logic needs no changes.

Acceptance Criteria:
- Envelope applied once as a filter, not per endpoint
- Authorization failures return 404 with no existence leak, matching current behaviour
- Envelope shape verified against a sample of current Java responses",3,High,Platform,"api-gateway-walking-skeleton,Phase-A"
Story,,PLAT - Platform & Foundation,Implement gateway rate limiting,"As a platform engineer, I want token-bucket rate limits per user, per workspace and per endpoint, so that one bad client can't degrade the platform for everyone else.

Acceptance Criteria:
- Login and signup have tighter limits than general CRUD
- Limit breach returns 429 with a Retry-After header
- Limits are configurable without a redeploy",5,Medium,Platform,"api-gateway-walking-skeleton,Phase-A"
Story,,PLAT - Platform & Foundation,Build the connector golden-file capture harness,"As a tech lead, I want tooling that records request/response pairs from each running Java plugin, so that every rewritten connector has an objective correctness bar before it ships.

Acceptance Criteria:
- Harness captures datasource config + action config in, ActionExecutionResult out
- Captures error shapes, type coercion and pagination, not just the happy path
- Output format is directly consumable as a .NET test fixture",8,Highest,Platform,"reference-material-capture,Phase-A"
Story,,PLAT - Platform & Foundation,Export the application DSL corpus,"As a tech lead, I want a few hundred real page DSLs exported from the Java system as fixtures, so that the evaluation-engine port, visual regression and widget prioritisation all have real data to work from.

Acceptance Criteria:
- Corpus spans a representative range of widget usage, not just simple pages
- Fixtures are anonymised of any customer-identifying content
- Corpus is versioned and reusable across every phase that needs it",5,High,Platform,"reference-material-capture,Phase-A"
